order,job_index,label,start,finish,duration,jct
1,0,J00,5.479449510574341,11.343759059906006,5.864309549331665,11.343759059906006
2,1,J01,5.969498634338379,9.990522146224976,4.021023511886597,9.990522146224976
3,2,J02,14.905462265014648,16.104653120040894,1.1991908550262451,16.104653120040894
4,3,J03,16.474717617034912,21.019365549087524,4.544647932052612,20.019365549087524
5,4,J04,21.230088233947754,23.67371416091919,2.4436259269714355,22.67371416091919
6,5,J05,26.25779676437378,29.992303133010864,3.734506368637085,28.992303133010864
7,6,J06,28.742884397506714,36.79411244392395,8.051228046417236,35.79411244392395
8,7,J07,35.33942270278931,37.772982120513916,2.4335594177246094,36.772982120513916
9,8,J08,41.60178995132446,45.69611692428589,4.094326972961426,44.69611692428589
10,9,J09,42.83776545524597,47.42524003982544,4.587474584579468,46.42524003982544
11,10,J10,50.82119798660278,53.89397716522217,3.0727791786193848,52.89397716522217
12,11,J11,52.46825933456421,54.8582181930542,2.3899588584899902,53.8582181930542
