policy,workload_id,execution_order,rank_used,execution_start_seconds,completion_seconds,jct_seconds,calibration_scale,evidence_status,assumed_job_time_factor
kubernetes-default,heavy-000-5835d092,1,0.692786694,0.0,4.803658,4.803658,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-001-1fbc6140,2,0.389090756,0.854758,397.648277,397.648277,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-002-80db849a,3,0.312626584,1.709515,750.00038,750.00038,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-003-fe05a828,4,0.415579717,2.564273,930.674599,930.674599,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-004-c84238c8,5,0.470631539,3.419031,627.210557,627.210557,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-005-452f0547,6,0.470184728,4.273789,761.655813,761.655813,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-006-2f8513b1,7,0.684239827,5.128546,136.186728,136.186728,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-007-aa7f1a53,8,0.506446153,5.983304,458.625972,458.625972,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-008-cd16187e,9,0.335473041,6.838062,1244.105397,1244.105397,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-009-35a75ca2,10,0.671500812,7.692819,223.524256,223.524256,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-010-40a00ce2,11,0.555727725,8.547577,978.336366,978.336366,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-011-3175cc9d,12,0.783249576,9.402335,73.840809,73.840809,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-012-f6437e0f,13,0.664692739,10.257093,85.503769,85.503769,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-013-54042f54,14,0.596715941,11.11185,629.164312,629.164312,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-014-78a748d4,15,0.635721294,11.966608,642.442995,642.442995,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-015-54afe656,16,0.457575579,12.821366,794.637001,794.637001,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-016-43d25037,17,0.26060981,13.676123,1284.653572,1284.653572,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-017-7d08380e,18,0.533644222,14.530881,1007.030881,1007.030881,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-018-f64faa83,19,0.769557187,15.385639,345.045912,345.045912,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-019-783135b0,20,0.408672541,16.240397,1184.467764,1184.467764,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-020-3d1c896a,21,0.687432048,17.095154,210.981455,210.981455,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-021-aeb0c5db,22,0.562189941,17.949912,782.623996,782.623996,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-022-eb6cad00,23,0.539663887,18.80467,697.527146,697.527146,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-023-91faf260,24,0.48410413,19.659427,698.192068,698.192068,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-024-3bcedff7,25,0.675057544,20.514185,261.14189,261.14189,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-025-1333b6f5,26,0.808317187,21.368943,458.14556,458.14556,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-026-f5c88db9,27,0.510089185,22.2237,960.000126,960.000126,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-027-065e2ec3,28,0.303862913,23.078458,1276.272412,1276.272412,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-028-e48c3cf5,29,0.597730908,23.933216,601.141512,601.141512,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-029-c0897f86,30,0.515013593,24.787974,771.504824,771.504824,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-030-588cde7a,31,0.485912673,25.642731,1142.269528,1142.269528,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-031-64edc186,32,0.371164028,26.497489,1237.356134,1237.356134,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-032-aba68153,33,0.759569181,27.352247,362.961624,362.961624,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-033-10e0b8a8,34,0.781532423,28.207004,366.105019,366.105019,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-034-f09bc37b,35,0.431522663,29.061762,1193.480025,1193.480025,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-035-140648c1,36,0.586326335,29.91652,722.136714,722.136714,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-036-87faed15,37,0.64718443,30.771278,930.119159,930.119159,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-037-2d84f43e,38,0.468663367,31.626035,1226.886956,1226.886956,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-038-a342f66d,39,0.663025757,32.480793,1042.145455,1042.145455,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-039-11fc45bc,40,0.579949623,33.335551,825.568025,825.568025,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-040-0f14f5d2,41,0.621258176,34.190308,614.076354,614.076354,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-041-79009bbb,42,0.721469427,35.045066,510.108855,510.108855,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-042-6a3ada7a,43,0.699519585,35.899824,762.644111,762.644111,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-043-f07651e1,44,0.46941231,36.754582,1104.102608,1104.102608,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-044-6477f458,45,0.742451265,37.609339,660.978341,660.978341,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-045-088d4ef5,46,0.538170283,38.464097,1198.385621,1198.385621,0.854757711,optimistic-synthetic-what-if-not-measured,
kubernetes-default,heavy-046-c30f5a41,47,0.524282799,39.318855,1119.080179,1119.080179,0.854757711,optimistic-synthetic-what-if-not-measured,
