config,rep,avg_jct,tail_jct_p95,max_jct,min_jct,makespan,avg_ilt
default,0,191.63020833334568,271.90000000002755,276.0000000000285,49.9999999999993,276.0000000000285,0.013829787234042554
custom_delay=0s,0,148.59375000000875,250.4500000000227,255.65000000002388,4.199999999999993,255.65000000002388,1.0234042553191351
custom_delay=1s,0,131.91770833334127,244.05000000002124,250.70000000002275,4.199999999999993,250.70000000002275,2.0372340425531204
custom_delay=2s,0,127.9083333333402,248.95000000002236,254.4500000000236,4.199999999999993,254.4500000000236,3.0351063829786895
custom_delay=5s,0,165.14375000001058,310.9000000000364,318.4000000000381,4.199999999999993,318.4000000000381,6.018085106383623
custom_adaptive,0,85.81041666666799,200.65000000001137,215.00000000001464,4.199999999999993,215.00000000001464,4.010638297872529
default,1,160.60104166667253,232.4500000000186,236.3500000000195,49.8999999999993,236.3500000000195,0.013829787234042554
custom_delay=0s,1,116.57187500000354,210.55000000001363,215.40000000001473,4.749999999999991,215.40000000001473,1.0234042553191351
custom_delay=1s,1,103.00000000000307,208.00000000001305,212.6000000000141,5.799999999999987,212.6000000000141,2.0372340425531204
custom_delay=2s,1,106.39895833333615,220.1500000000158,223.2500000000165,6.249999999999986,223.2500000000165,3.0351063829786895
custom_delay=5s,1,158.9114583333426,297.3000000000333,315.45000000003745,6.249999999999986,315.45000000003745,6.018085106383623
custom_adaptive,1,71.31666666666638,167.8000000000039,190.40000000000904,4.749999999999991,190.40000000000904,3.424468085106438
default,2,136.02291666666792,196.8500000000105,201.40000000001154,47.29999999999945,201.40000000001154,0.012765957446808512
custom_delay=0s,2,95.03229166666648,177.20000000000604,182.10000000000716,3.7999999999999945,182.10000000000716,1.0234042553191351
custom_delay=1s,2,83.91979166666671,176.00000000000577,181.50000000000702,3.7999999999999945,181.50000000000702,2.0372340425531204
custom_delay=2s,2,91.07083333333351,190.00000000000895,196.8000000000105,3.7999999999999945,196.8000000000105,3.0351063829786895
custom_delay=5s,2,155.5468750000086,298.30000000003355,311.15000000003647,3.7999999999999945,311.15000000003647,6.018085106383623
custom_adaptive,2,60.197916666665726,147.5499999999993,162.5000000000027,3.7999999999999945,162.5000000000027,2.8787234042552496
default,3,253.16770833335886,328.3500000000404,331.70000000004114,49.499999999999325,331.70000000004114,0.012765957446808512
custom_delay=0s,3,212.0968750000209,309.050000000036,311.4000000000365,5.749999999999988,311.4000000000365,1.0234042553191351
custom_delay=1s,3,189.94270833335028,300.6000000000341,302.0500000000344,5.649999999999988,302.0500000000344,2.0372340425531204
custom_delay=2s,3,176.19479166668117,298.1000000000335,299.20000000003375,5.649999999999988,299.20000000003375,3.0351063829786895
custom_delay=5s,3,167.45208333334398,310.3000000000363,319.7000000000384,5.649999999999988,319.7000000000384,6.018085106383623
custom_adaptive,3,107.72500000000298,233.3500000000188,250.75000000002277,5.649999999999988,250.75000000002277,4.7063829787237506
default,4,179.99375000001078,260.3500000000249,261.6000000000252,50.09999999999929,261.6000000000252,0.013829787234042554
custom_delay=0s,4,137.14375000000751,239.35000000002017,240.3500000000204,3.649999999999995,240.3500000000204,1.0234042553191351
custom_delay=1s,4,127.08125000000707,238.50000000001998,241.00000000002055,3.649999999999995,241.00000000002055,2.0372340425531204
custom_delay=2s,4,124.37083333333939,243.20000000002105,247.0000000000219,3.649999999999995,247.0000000000219,3.0351063829786895
custom_delay=5s,4,160.88854166667636,296.7000000000332,316.70000000003773,3.649999999999995,316.70000000003773,6.018085106383623
custom_adaptive,4,79.7093750000004,183.05000000000737,210.5000000000136,3.649999999999995,210.5000000000136,3.8234042553192946
