repetition,job_index,T,R,M,G,C,P,six_feature_score,duration_only_score,six_feature_position,duration_only_position
0,0,18.560669,0.052,950.0,48.28,50.0,3.0,0.361259631191628,0.38775124196611715,11,10
0,1,6.686156,0.0505,580.0,37.57,36.0,4.0,0.6121485758302622,0.8502695394534939,5,4
0,2,2.842035,0.0731,528.0,28.13,20.0,2.0,0.8559839021815624,1.0,1,1
0,3,18.630331,0.0566,999.0,46.21,44.0,2.0,0.3854110882100252,0.3850378717723613,10,11
0,4,5.851655,0.0786,695.0,44.81,41.0,3.0,0.7622827816249034,0.8827737761974778,2,2
0,5,10.087631,0.0416,690.0,45.35,46.0,2.0,0.5109688111549165,0.717780364870429,9,7
0,6,28.515642,0.0338,967.0,35.78,20.0,3.0,0.09049468063087304,0.0,12,12
0,7,8.580301,0.0735,839.0,21.11,35.0,3.0,0.7320645071294473,0.7764916320484302,3,5
0,8,13.174095,0.0717,941.0,49.53,44.0,3.0,0.5332709996555767,0.5975610283354419,7,8
0,9,15.01779,0.0716,1004.0,29.98,29.0,4.0,0.5110369174362879,0.525748173990511,8,9
0,10,6.041256,0.0743,670.0,40.52,20.0,4.0,0.6835619295886213,0.8753887211874825,4,3
0,11,8.697138,0.0675,804.0,42.0,25.0,2.0,0.6100007819426623,0.7719407717037967,6,6
1,0,4.931913,0.0681,663.0,24.89,34.0,2.0,0.8794162213513834,1.0,1,1
1,1,9.511168,0.064,831.0,26.53,46.0,2.0,0.7172580662698881,0.7085226626445585,3,4
1,2,11.717733,0.0603,839.0,37.8,44.0,4.0,0.5382305148705787,0.5680710627878767,7,8
1,3,14.548051,0.072,1000.0,42.19,50.0,2.0,0.5279140495647968,0.3879165279324956,8,9
1,4,10.987219,0.0755,912.0,36.19,22.0,3.0,0.5911033237196134,0.6145695162744969,6,7
1,5,7.084122,0.0478,616.0,36.99,49.0,3.0,0.6768893456458392,0.8630082516146366,4,3
1,6,10.096508,0.0335,599.0,33.46,44.0,4.0,0.5116484496901933,0.6712647801620075,9,6
1,7,9.929289,0.0687,851.0,44.28,36.0,2.0,0.6082213925696964,0.6819085527571653,5,5
1,8,16.805868,0.0562,929.0,47.24,42.0,4.0,0.3149502160014604,0.24420265146222891,11,10
1,9,20.642414,0.0532,991.0,45.21,50.0,4.0,0.22582368463628405,0.0,12,12
1,10,19.016969,0.0443,936.0,28.94,41.0,2.0,0.32318485225086574,0.10346232752220946,10,11
1,11,6.356848,0.0582,632.0,40.26,46.0,3.0,0.7285236745671558,0.9093004736131585,2,2
2,0,6.666581,0.0685,657.0,45.6,25.0,4.0,0.718178165288675,0.9099296747448596,1,2
2,1,9.07294,0.047,728.0,25.55,32.0,2.0,0.6300059686213654,0.7491125972627751,5,5
2,2,11.976236,0.031,676.0,33.4,49.0,2.0,0.4810185608407953,0.5550851982813986,6,7
2,3,5.318829,0.0455,558.0,32.93,28.0,2.0,0.717577011494253,1.0,2,1
2,4,18.162553,0.0489,944.0,21.66,21.0,4.0,0.31568774557425416,0.14165336191877084,11,10
2,5,20.282159,0.0512,989.0,30.88,38.0,4.0,0.27792882987077894,0.0,12,12
2,6,15.128721,0.0511,901.0,25.96,32.0,3.0,0.44504589105177644,0.3444044875037842,9,9
2,7,9.723358,0.0342,598.0,40.47,24.0,3.0,0.4588193181362596,0.7056451338037724,7,6
2,8,7.426154,0.067,739.0,48.34,32.0,2.0,0.7079695569344484,0.8591673778497166,3,3
2,9,8.782914,0.0525,708.0,30.89,47.0,4.0,0.6635387652031786,0.7684950475596007,4,4
2,10,18.969952,0.0514,973.0,31.94,39.0,3.0,0.33151371747427444,0.08769485134659202,10,11
2,11,12.31817,0.0406,729.0,41.82,42.0,3.0,0.4478398538109975,0.5322337340685529,8,8
3,0,14.901856,0.0743,1009.0,34.46,39.0,4.0,0.5399283069906365,0.42415456577173194,7,9
3,1,17.986354,0.0611,1011.0,28.36,26.0,4.0,0.393623581477298,0.2513501109601963,10,10
3,2,22.472864,0.0329,872.0,36.96,49.0,3.0,0.2157030928847086,0.0,12,12
3,3,12.025716,0.0374,711.0,27.19,43.0,4.0,0.5066303818929527,0.5852860706913819,9,7
3,4,12.968875,0.0755,969.0,30.7,46.0,4.0,0.6374393537302643,0.5324469776540081,5,8
3,5,9.234029,0.0704,838.0,39.51,27.0,2.0,0.654730640046072,0.7416862207447947,4,6
3,6,19.363616,0.0438,918.0,28.92,32.0,4.0,0.302421527148024,0.17419103708735034,11,11
3,7,5.477125,0.0678,608.0,39.25,42.0,4.0,0.7912430020362935,0.9521612307786081,3,2
3,8,8.341929,0.0499,649.0,48.97,21.0,3.0,0.51406760076736,0.7916648085530446,8,4
3,9,4.62322,0.0636,562.0,30.67,42.0,4.0,0.8426104838396773,1.0,1,1
3,10,5.823609,0.0679,658.0,30.87,40.0,4.0,0.8083278185225506,0.9327499752936248,2,3
3,11,8.581868,0.0491,648.0,40.74,40.0,4.0,0.5844942859062016,0.7782225796772193,6,5
4,0,7.247366,0.0427,557.0,45.59,38.0,3.0,0.5658684771213609,0.7796803275052715,8,5
4,1,4.816656,0.06,552.0,39.76,36.0,3.0,0.7581592325746302,0.9111665752482094,2,2
4,2,10.928718,0.0661,886.0,26.04,45.0,2.0,0.6984331327823019,0.5805421493182563,5,8
4,3,6.391632,0.0465,600.0,28.21,35.0,3.0,0.6650358051588166,0.8259701986647495,7,4
4,4,21.660864,0.0464,983.0,45.87,34.0,2.0,0.20228756641838358,0.0,12,12
4,5,15.806112,0.0437,819.0,42.92,34.0,4.0,0.313759688730741,0.3167055600814003,11,11
4,6,8.281266,0.0691,788.0,46.6,45.0,2.0,0.7038310619821918,0.7237527871810767,4,7
4,7,3.174444,0.0692,541.0,20.98,27.0,3.0,0.9151690821256039,1.0,1,1
4,8,6.374691,0.0576,651.0,33.59,37.0,3.0,0.7117980050485502,0.8268866010833898,3,3
4,9,14.827605,0.0695,1007.0,26.05,22.0,2.0,0.534536666491109,0.36963668465825184,9,9
4,10,7.469682,0.0609,739.0,29.9,27.0,2.0,0.6895743225435976,0.7676544187571201,6,6
4,11,15.675396,0.0317,734.0,38.75,45.0,3.0,0.33411052914190154,0.32377648024874484,10,10
