order,job_index,label,start,finish,duration,jct
1,2,J02,4.141244173049927,5.411297798156738,1.2700536251068115,5.411297798156738
2,4,J04,4.230978965759277,6.726179361343384,2.4952003955841064,6.726179361343384
3,7,J07,9.790623188018799,12.503312349319458,2.712689161300659,12.503312349319458
4,10,J10,11.3084557056427,14.51928162574768,3.2108259201049805,14.51928162574768
5,1,J01,17.157209873199463,21.266749382019043,4.10953950881958,21.266749382019043
6,11,J11,19.591424465179443,22.15406036376953,2.562635898590088,22.15406036376953
7,9,J09,26.93042278289795,31.44606328010559,4.515640497207642,31.44606328010559
8,8,J08,27.07981848716736,31.048280000686646,3.968461513519287,31.048280000686646
9,5,J05,35.69530510902405,39.002915382385254,3.307610273361206,39.002915382385254
10,0,J00,36.700008392333984,42.502254009246826,5.802245616912842,42.502254009246826
11,6,J06,44.36565399169922,52.65607738494873,8.290423393249512,52.65607738494873
12,3,J03,47.15974497795105,51.78984832763672,4.630103349685669,51.78984832763672
